dataset,KNN,LR,RF,NB,GB,ADA
heart2020_13_of_21,0.9007751316162574,0.9144339611453068,0.9095742026744812,0.9137116593190132,0.9146308329748456,0.9148278341834617
heart2020_14_of_21,0.8959153947086115,0.9144339611453068,0.9103625740829988,0.9143683012634944,0.914893795949788,0.9137117886980908
heart2020_15_of_21,0.8948652031736687,0.9144339611453068,0.9083925404336572,0.9139085527117317,0.9144339611453068,0.9132517382618136
heart2020_16_of_21,0.8944045920947227,0.9144339611453068,0.9082610697277756,0.9135803179922093,0.9135146149840379,0.9137773192008254
heart2020_17_of_21,0.895652582675926,0.9144339611453068,0.9088520302272652,0.9144339611453068,0.9139743204094415,0.9148937528234289
heart2020_18_of_21,0.8934856125075067,0.9144339611453068,0.9118070914828674,0.9141055539203478,0.9135144640417808,0.9152219444165921
heart2020_19_of_21,0.8976884055861574,0.914368279700315,0.9097060615175948,0.9137773407640051,0.9139743204094415,0.9151564139138572
heart2020_20_of_21,0.8964409540844436,0.914368279700315,0.9100999345557501,0.9142369599366905,0.9149592833261636,0.9155500713202164
heart2020_21_of_21,0.8970319361471126,0.914368279700315,0.9093774386608404,0.914368279700315,0.9140398293489967,0.9148278126202822
autism_1_of_1,0.7520796640021676,0.9803278688524589,1.0,0.9737704918032787,1.0,1.0
obesity_1_of_1,0.7593073593073593,0.767965367965368,0.9813852813852814,0.9073593073593074,0.990909090909091,0.8147186147186147
heartBeat_1_of_1,1.0,0.975879971809737,0.999038013176705,0.7617504406204219,1.0,1.0
stress_1_of_1,0.8666666666666668,1.0,0.9920634920634921,1.0,0.980952380952381,0.5888888888888889
fetalHealth_1_of_1,0.9035769124551228,0.8786578293289147,0.9468511460922396,0.8104468378900856,0.9576647334990334,0.9106500966583816
fetalCardio_1_of_1,0.8833460370063518,0.8156354598177298,0.911576912455123,0.8184545705606187,0.9092206572769953,0.8504258492129246
diabetes2019_1_of_1,0.7752218241939929,0.8938715899696886,0.944309727197575,0.8256324056213833,0.9306255166712593,0.8928134472306419
thoracic_1_of_1,0.823404255319149,0.8382978723404255,0.8468085106382979,0.23191489361702128,0.825531914893617,0.827659574468085
preterm_1_of_1,1.0,1.0,1.0,0.9636363636363636,1.0,0.9833333333333332
arrhythmiaBinary_1_of_6,0.9650813609546238,0.9332021609622929,0.9848052545638719,0.9327846781297365,0.9784889738162976,0.972232287824385
arrhythmiaBinary_2_of_6,0.9678228794865159,0.9312953240573572,0.9855800396446256,0.933023554219156,0.9808131160299419,0.9728880964224329
arrhythmiaBinary_3_of_6,0.9657368855145156,0.9326062489104474,0.9862946618934053,0.9309972615171258,0.9803359319274154,0.9690738012790948
arrhythmiaBinary_4_of_6,0.9657350392664998,0.9349857963169482,0.9845064286710954,0.9351646870982414,0.9794411407256394,0.9729456496538462
arrhythmiaBinary_5_of_6,0.9681189360072686,0.9335558949811524,0.9851619177262178,0.9315891615300143,0.9802159258063933,0.968476469036468
arrhythmiaBinary_6_of_6,0.9669268456178062,0.9314101642344124,0.9848041894207858,0.937071524003177,0.9792027261982238,0.9699065834008811
cervicalCancer_1_of_1,0.9324017407860736,0.9580375356997145,0.9510335917312661,0.8717870257037944,0.95687474500204,0.9487284101727186
epilepsy_1_of_1,0.9339999999999999,0.6364347826086958,0.9742608695652173,0.957391304347826,0.9644347826086956,0.9425217391304347
